lastname	cnt
Gambino	1
Guidi	2
Israël	2
Evangelista	2
Gamble	2
Guignard	4
Issa	7
Evans	8
Gamelin	8
Guilbault	57
Izzi	1
Evoy	2
Gandhi	3
Guilbert	12
Izzo	1
Évrard	1
Ganley	1
Guillaume	6
Jabbour	2
Exantus	2
Gannon	1
Guillemette	83
Jaber	3
Faber	2
Gao	2
Guillette	13
Jack	2
Fabi	2
Gaouette	2
Guillot	8
Jackson	14
Fabien	2
Garabedian	1
Guilmain	3
Jacob	35
Fabre	3
Garand	41
Guimond	59
Jacobs	13
Fabry	2
Garceau	29
Guinard	1
Jacques	136
Fadel	2
Garcia	20
Guindon	28
Jalbert	48
Fafard	26
Gardner	12
Guinois	2
James	9
Fagnan	1
Gareau	26
Guirguis	2
Jamieson	3
Fagnant	2
Gariépy	50
Guitard	9
Janelle	10
Faguy	2
Garneau	59
Guité	4
Jansen	2
Fahey	1
