firstname	gender	cnt
Ann-Laurence	f	15
Ann-Laurie	f	23
Ann Marie	f	135
Ann-Marie	f	46
Annouk	f	14
Ann Sarah	f	14
Ann-Sarah	f	19
Ann Sophie	f	199
Ann-Sophie	f	409
Ann-Sophy	f	15
Anny	f	197
Annya	f	14
Anny Claude	f	16
Anny Pier	f	20
Anny-Pier	f	20
Anosha	f	14
Anouchka	f	35
Anouck	f	73
Anouk	f	758
Anouka	f	12
Anoushka	f	17
Anta	f	18
Anthea	f	25
Anthony	f	43
Antoine	f	33
Antoinette	f	79
Antonella	f	140
Antonia	f	170
Antonietta	f	40
Antonina	f	42
Anum	f	14
Anusha	f	20
Anushka	f	19
Any	f	34
Anya	f	293
Anyanka	f	14
Any Claude	f	11
Anyka	f	18
Any Pier	f	18
Any-Pier	f	17
Anyssa	f	53
Aphrodite	f	11
Apolline	f	32
April	f	257
Aqsa	f	23
Arabella	f	37
Aram	f	11
Arantxa	f	12
Araz	f	12
Archana	f	11
Areeba	f	26
Areej	f	30
Areni	f	11
Argyro	f	15
Aria	f	385
Ariadna	f	24
Ariadne	f	13
Ariah	f	18
Arian	f	17
Ariana	f	517
Ariane	f	7955
Ariann	f	24
Arianna	f	321
Arianne	f	2791
Aridj	f	12
Ariel	f	1011
Ariela	f	26
Ariele	f	45
Ariella	f	109
Arielle	f	1926
Arij	f	96
Arije	f	25
Arina	f	97
Arine	f	17
Arisha	f	16
Ariya	f	24
Arlene	f	38
Arlette	f	26
Armelle	f	17
Armita	f	22
Arnika	f	12
Arooj	f	13
Aroua	f	11
Arshdeep	f	11
Artemis	f	46
Arwa	f	169
Arwen	f	23
Arya	f	297
Aryah	f	11
Aryan	f	25
Aryana	f	54
Aryane	f	256
Aryann	f	38
Aryanna	f	22
Aryanne	f	129
Aryel	f	66
Aryelle	f	106
Asal	f	21
Aseel	f	46
Asha	f	56
Ashanti	f	14
Ashely	f	12
Ashlee	f	46
Ashleigh	f	34
Ashley	f	2099
Ashley Ann	f	19
Ashley Anne	f	13
Ashley Marie	f	19
Ashley Rose	f	11
Ashly	f	23
Ashlyn	f	36
Ashlynn	f	14
Ashton	f	12
Asia	f	73
Asil	f	12
Asiya	f	22
Asli	f	15
Asma	f	378
Asmaa	f	198
Asmae	f	46
Aspen	f	11
Asra	f	13
Assia	f	214
Assil	f	86
Assile	f	17
Assitan	f	14
Assiya	f	45
Assma	f	13
Assunta	f	15
Assya	f	26
Astou	f	15
Astrid	f	127
Astride	f	12
Asya	f	30
Atara	f	13
Athanasia	f	44
Athena	f	414
Athenais	f	11
Athina	f	45
Atifa	f	15
Atika	f	12
Atiya	f	16
Aube	f	77
Aubree	f	34
Aubrey	f	65
Aubrie	f	12
Auceane	f	18
Auceanne	f	14
Aude	f	351
Audelie	f	47
Audray	f	169
Audre	f	18
Audrea	f	25
Audreane	f	148
Audreann	f	12
Audreanne	f	415
Audree	f	744
Audree Anne	f	35
Audree-Anne	f	26
Audrey	f	16703
Audrey Ann	f	581
Audrey-Ann	f	596
Audreyann	f	24
Audrey Anne	f	761
Audrey-Anne	f	716
Audreyanne	f	45
Audrey Claude	f	16
Audrey Eve	f	32
Audrey-Eve	f	37
Audrey Jade	f	25
Audrey-Jade	f	22
Audrey Kim	f	13
Audrey Maude	f	87
Audrey-Maude	f	84
Audrey Pier	f	13
Audrey-Pier	f	11
Audrey Rose	f	37
Audrey-Rose	f	46
Audrina	f	69
Audry	f	18
Audryna	f	11
Augustine	f	91
Auphelie	f	17
Aura	f	29
Auralie	f	42
Auraly	f	12
Aurelia	f	181
Aureliane	f	15
Aurelie	f	3612
Aurellie	f	13
Aurely	f	205
Aurelye	f	17
Auriane	f	36
Aurianne	f	13
Aurora	f	94
Aurore	f	108
Autumn	f	114
Auxane	f	12
Ava	f	664
Avani	f	12
Aveline	f	18
Averie	f	11
Avery	f	257
Avia	f	19
Aviana	f	24
Avianna	f	11
Avigail	f	30
Avin	f	14
Avital	f	15
Aviva	f	52
Avneet Kaur	f	11
Avril	f	107
Awa	f	89
Axel	f	34
Axele	f	21
Axelle	f	509
Aya	f	1599
Ayah	f	152
Ayala	f	20
Ayan	f	12
Ayana	f	83
Ayanna	f	50
Ayat	f	68
Ayda	f	30
Ayelet	f	13
Ayesha	f	138
Ayla	f	176
Ayleen	f	23
Aylin	f	60
Ayline	f	25
Aymie	f	11
Ayna	f	11
Ayra	f	12
Ayse	f	48
Aysenur	f	15
Aysha	f	90
Ayva	f	32
Azaelle	f	15
Azalea	f	32
Azalee	f	66
Azalia	f	13
Azalie	f	46
Azaly	f	18
Azelia	f	17
Azelie	f	72
Aziza	f	52
Azra	f	31
Azure	f	21
Azza	f	15
Bahar	f	37
Bahara	f	12
Bahareh	f	11
Bahia	f	24
Baila	f	65
Bailey	f	109
Bana	f	19
Baraa	f	25
Baran	f	21
Barbara	f	418
Basma	f	186
Bassma	f	25
Batool	f	15
Batoul	f	97
Batsheva	f	22
Baya	f	74
Bayan	f	33
Bayane	f	41
Bea	f	56
Beata	f	13
Beatrice	f	5705
Beatrix	f	47
Beatriz	f	101
Beatryce	f	17
Becka	f	13
Becky	f	48
Belen	f	19
Belinda	f	154
Belkis	f	16
Bella	f	288
Bella-Rose	f	16
Belle	f	24
Belynda	f	21
Benafsha	f	14
Benedicte	f	266
Benita	f	27
Benjamin	f	23
Benoit	f	15
Berangere	f	21
Berenice	f	102
Berfin	f	14
Berline	f	16
Bernadette	f	78
Bernice	f	25
Bertha	f	15
Besma	f	31
Beth	f	12
Bethanie	f	30
Bethany	f	108
Bethsaida	f	13
Betina	f	13
Betsy	f	59
Bettina	f	33
Betty	f	109
Betul	f	13
Beverley	f	21
Beverly	f	124
Beya	f	31
Bianca	f	3455
Bianca Maria	f	16
Bianelle	f	13
Bianka	f	846
Bibi	f	12
Bibiane	f	19
Bilie	f	14
Billie	f	499
Billie Rose	f	11
Billie-Rose	f	25
Billy	f	25
Bina	f	16
Bineta	f	19
Binta	f	29
Bintou	f	47
Bissan	f	13
Bita	f	14
Blair	f	15
Blake	f	56
Blanca	f	13
Blanche	f	635
Blandine	f	33
Blayke	f	16
Blessing	f	45
Blima	f	23
Blimi	f	13
Blimie	f	20
Blimy	f	53
Bo	f	16
Bobbie	f	11
Bochra	f	21
Bojana	f	16
Bonnie	f	108
Bouchra	f	80
Boutaina	f	23
Bracha	f	49
Branda	f	32
Brandi	f	15
Brandon	f	12
Brandy	f	53
Breana	f	13
Breanna	f	81
Breanne	f	20
Bree	f	14
Breindy	f	24
Brenda	f	494
Brenda Lee	f	13
Brenda-Lee	f	38
Brendaly	f	12
Brenna	f	35
Bria	f	23
Briana	f	294
Brianna	f	825
Briannah	f	15
Brianne	f	49
Bridget	f	64
Bridgette	f	11
Briella	f	23
Brielle	f	94
Brigitte	f	905
Brihanna	f	18
Britanie	f	149
Britannie	f	21
Britanny	f	127
Britany	f	723
Brithanie	f	12
Brithany	f	142
Britney	f	79
Brittanie	f	15
Brittany	f	814
Brittney	f	55
Bronwyn	f	21
Brook	f	19
Brooke	f	329
Brooklyn	f	199
Brooklyne	f	11
Brooklynn	f	49
Brucha	f	14
Bruna	f	19
Bryana	f	85
Bryanna	f	178
Bryna	f	14
Brynn	f	20
Brytanie	f	11
Brythanie	f	11
Bushra	f	35
Byanca	f	53
Byanka	f	95
Cadence	f	31
Cailey	f	11
Cailin	f	15
Caitlin	f	286
Caitlyn	f	94
Caleigh	f	21
Cali	f	43
Calia	f	15
Calie	f	16
Calina	f	15
Caline	f	16
Calista	f	33
Callie	f	87
Callista	f	15
Cally	f	12
Calypso	f	24
Camay	f	16
Camelia	f	740
Camelie	f	71
Camellia	f	36
Camelya	f	21
Cameron	f	63
Camie	f	14
Camila	f	557
Camila Andrea	f	21
Camile	f	11
Camilia	f	199
Camilie	f	26
Camilla	f	109
Camille	f	12215
Camillia	f	47
Camilya	f	21
Cammy	f	11
Camryn	f	21
Camy	f	12
Camylle	f	104
Candace	f	63
Candice	f	148
Candida	f	15
Candide	f	38
Candy	f	80
Capri	f	22
Capucine	f	105
Cara	f	104
Carel	f	13
Carelle	f	35
Caren	f	24
Cariane	f	12
Carianne	f	18
Carina	f	180
Carine	f	608
Carinne	f	36
Carissa	f	47
Carl	f	13
Carla	f	398
Carlee	f	16
Carlene	f	15
Carley	f	22
Carlie	f	65
Carline	f	32
Carly	f	167
Carmel	f	20
Carmela	f	49
Carmelie	f	11
Carmelina	f	40
Carmella	f	24
Carmelle	f	28
Carmen	f	244
Carmine	f	13
Carol	f	85
Carolan	f	54
Carolane	f	1796
Carol Ann	f	660
Carol-Ann	f	212
Carolann	f	275
Carol Anne	f	271
Carol-Anne	f	92
Carolanne	f	984
Carole	f	326
Carole Ann	f	167
Carole-Ann	f	39
Carole Anne	f	491
Carole-Anne	f	138
Carolie	f	42
Carolina	f	317
Caroline	f	13098
Carollan	f	11
Carollane	f	12
Caroll Ann	f	72
Caroll-Ann	f	21
Carolle Anne	f	16
Carolline	f	13
Carolyn	f	274
Carolyne	f	632
Carolynn	f	25
Carrie	f	60
Carrie Ann	f	11
Caryn	f	12
Caryne	f	19
Carys	f	12
Casandra	f	217
Casey	f	105
